original,normalized,website
FLEETWOOD DEVELOPMENTS LIMITED,Fleetwood Developments Ltd.,
FLETCHER KING RE BPL PROPERTY,Fletcher King Real Estate Bpl Property,
FLETCHER KING SERVICES LIMITED,Fletcher King Services Ltd.,
FLETCHER MOORLAND LTD,Fletcher Moorland Ltd.,
FLEXIBLE TECHNOLOGY SOLUTIONS UK LIMITED,Flexible Technology Solutions,
FLINTSHIRE COUNTY COUNCIL,Flintshire County Council,flintshire.gov.uk
FLUDE COMMERCIAL LIMITED,Sej Commercial Ltd.,
FM LONDON LIMITED,Fm London Ltd.,
FOCUS PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
FORELIAN PROPERTIES LIMITED,Forelian Properties Ltd.,
FORELLE ESTATES LIMITED,Forelle Estates Ltd.,
FOREST HOUSE DENTAL RETIREMENT BENE,Forest House Dental,
FORMOST AIR CONDITIONING LIMITED,Portman Air Conditioning,
FORMS PLUS LIMITED,Forms Plus Ltd.,
FORTEM PROPERTY MANAGEMENT LIMITED,Fortem Property Management,
FOUNDIT! GROUP LIMITED,Foundit Group Ltd.,
FOUR SEASONS AIR CONDITIONING SUPPL,Four Seasons Air Conditioning Supply,
FOURPLY LIMITED,Fourply Ltd.,
FOXWOOD DEVELOPMENTS LIMITED,Fleetwood Developments Ltd.,
FRAZER KIDD LLP,Frazer Kidd LLP,
FREETHS LLP,Freeths LLP,freeths.co.uk
FRENCH WEIR PROPERTIES LIMITED,French Weir Properties Ltd.,
FRESHWATER PROPERTY MAN LIMITED,Freshwater Property Management Ltd.,
FRIDGE RENTALS LIMITED,Fridge Rentals Ltd.,
FROST OPTICAL SERVICES LIMITED,Frost Optical Services,
FRYSEL PROPERTY COMPANY LTD,Frysel Property Co. Ltd.,
FSC MANAGEMENT LIMITED,Right Management,rightmanagement.com
FTN LIMITED T/A WINSTONS,Ftn Ltd.,
FUJIFILM UK LIMITED,Fujifilm UK Ltd.,fujifilm.com
FUJITSU SERVICES LIMITED,Fujitsu Services Ltd.,fujitsu.com
FULMAK REWINDING LIMITED,Fulmak Rewinding Ltd.,
FW WOOD & SON YORK LIMITED,Fw Wood & Son,
FYLDE BOROUGH COUNCIL,Swale Borough Council,swale.gov.uk
FYNECAST LIMITED,Fynecast Ltd.,
G DYER & N LA BARRE,G Dyer & N La Barre,
G PACITTO AND SONS REDCAR  LIMITED,G Pacitto & Sons Ltd.,
G4S CASH SOLUTIONS (UK) LIMITED,G4s Cash Solutions Ltd.,g4s.com
G4S CASH SOLUTIONS UK LIMITED,G4s Cash Solutions Ltd.,g4s.com
GABRIELLA LIMITED,Gabriella Ltd.,
GANCO HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
GANI AND COMPANY,Gani & Co.,
GARTEC LIMITED,Gartec Ltd.,
GARVOCK PROPERTIES LIMITED,Hiroko Properties Ltd.,
GATEHOUSE PROPERTY MANAGEMENT LIMIT,Gatehouse Property Management,
GATESHEAD COUNCIL,Gateshead Council,gateshead.gov.uk
GATWICK AIRPORT LIMITED,Gatwick Airport Ltd.,gatwickairport.com
GAVIN AND NICOLA TRESIDDER,Gavin and Nicola Tresidder,
GB GROUP PLC,GB Group PLC,
GB WILLBOND LIMITED,GB Willbond Ltd.,
GBR PHOENIX BEARD,Gbr Phoenix Beard,
GEDLING BOROUGH COUNCIL,Reading Borough Council,reading.gov.uk
GELOO HOLDINGS LIMITED,Sop Holdings Ltd.,mediacom.com
GENERAL PHARMACEUTICAL COUNCIL,General Pharmaceutical Council,
GENTIAN CAPITAL PROPERTIES LIMITED,Vinters Capital Properties,
GENTIAN HACKNEY LIMITED,Gentian Hackney Ltd.,
GEO HALLAM & SONS,Geo Hallam and Sons,
GEORGE S MUMFORD,George S Mumford,
GEORGE TAYLOR HOLDING LIMITED,George Taylor Holding Ltd.,
GEORGE UTZ LIMITED,Georges Court Ltd.,georgeutz.com
GEORGES COURT LIMITED,Georges Court Ltd.,georgeutz.com
GEP,Gep,
GERALD EVE LLP,Gerald Eve LLP,
GF1 INVESTMENTS LIMITED,First Investments Ltd.,
GFIC PROPERTIES LIMITED,Goldilocks Properties Ltd.,
GFT RETAIL UK LIMITED,Gft Retail,
GG GLASS AND GLAZING LIMITED,Gg Glass & Glazing Ltd.,
GKR MAINTENANCE & BUILDING CO LIMIT,Gkr Maintenance and Building Co.,
GL HEARN LIMITED,Gl Hearn Ltd.,glhearn.com
GLAMLEE LIMITED,Glamlee Ltd.,
GLASGOW AIRPORT LIMITED,Glasgow Airport Ltd.,glasgowairport.com
GLASGOW CITY COUNCIL,Glasgow City Council,glasgow.gov.uk
GLASGOW PROPERTIES LIMITED,Glasgow Properties Ltd.,
GLASS HOUSE REALTY LIMITED,Glass House Realty,
GLEEDS COST MANAGEMENT LIMITED,Gleeds Cost Management,gleeds.com
GLEEDS HEALTH AND SAFETY LIMITED,Gleeds Health and Safety Ltd.,
GLENNY LLP,Glenny LLP,
GLENSTONE PROPERTY PLC,Glenstone Property,
GLOBAL VAC FORMING LIMITED,Global Vac Forming Ltd.,
GLOUCESTER CITY COUNCIL,Leicester City Council,leicester.gov.uk
GOADSBY AND HARDING COMMERCIAL LIMI,Goadsby & Harding Commercial Ltd.,
GOLD CARE HOTELS LIMITED,Gold Care Hotels,
GOLDILOCKS PROPERTIES LIMITED,Goldilocks Properties Ltd.,
GOLDINGS ESTATES LIMITED,Goldpine Estates Ltd.,
GOLDPINE ESTATES LIMITED,Goldpine Estates Ltd.,
GOODMAN MANN BROOMHALL,Goodman Mann Broomhall,
GOODMAN MASSON LIMITED,Goodman Masson,goodmanmasson.com
GOOGLE CLOUD EMEA LIMITED,Apigee Corp.,cloud.google.com
GOOGLE IRELAND LIMITED,Google Ireland Ltd.,google.com
GOSPORT BOROUGH COUNCIL,Gosport Borough Council,gosport.gov.uk
GRACECLIFFE DEVELOPMENTS LIMITED,Gracecliffe Developments Ltd.,
GRAHAM AND SIBBALD,Graham & Sibbald,grahamandsibbald.co.uk
GRANBY MARKETING SERVICES LIMITED,Granby Marketing Services,
GRANDPRIME LIMITED,Grandprime Ltd.,
GRANDPROP LIMITED,Grandprime Ltd.,
GRANGE MANAGEMENT SOUTHERN LIMITED,Grange Management Southern Ltd.,
GRAPHIC BUSINESS FORMS LIMITED,Graphic Business Forms Ltd.,
GRASSFISH MARKETING TECHNOLOGIES LTD,Grassfish Marketing Technologies Ltd.,
GRATTAN ASSET MANAGEMENT,Grattan Asset Management,
GRATTE BROTHERS SECURITY MANAGEMENT,Gratte Brothers Security Management,
GRAVESHAM BOROUGH COUNCIL,Fareham Borough Council,fareham.gov.uk
GRAYSHOTT INVESTMENTS LIMITED,First Investments Ltd.,
GREAT WESTERN HOSPITALS NHS,Great Western Hospitals NHS,greatwesternhospitals.nhs.uk
GREAT YARMOUTH BOROUGH COUNCIL,Great Yarmouth Borough Council,great-yarmouth.gov.uk
GREATER CONSULTING SERVICES LIMITED,Greater Consulting Services Ltd.,
GREEN STAR INVESTMENTS LIMITED,Green Star Investments Ltd.,
GREENCORE FOOD TO GO LIMITED,Greencore Food to Go,greencore.com
GREENHAM COMMERCIAL LIMITED,Greenham Commercial Ltd.,
GREENHAWK LIMITED,Greenhawk Ltd.,
GREENSLADE TAYLOR HUNT,Greenslade Taylor Hunt,
GREENWICH COUNCIL,Greenwich Council,greenwich.gov.uk
GREENZONE FACILITIES MANAGEMENT LIM,Greenzone Facilities Management,
GREYWILLOW LIMITED,Greywillow Ltd.,
GRICE COLLINS LONG LIMITED,Grice Collins Long Ltd.,
GST PROPERTY CONSULTING LIMITED,GST Property Consulting,
GT COMMS LIMITED,Gt Comms Ltd.,
GUILDFORD BOROUGH COUNCIL,Watford Borough Council,dartford.gov.uk
GUNNEBO ENTRANCE CONTROL LIMITED,Gunnebo Entrance Control Ltd.,gunnebo.com
GVA GRIMLEY LIMITED,Gva Grimley Ltd.,gvagrimley.co.uk
GW DALSTON COMM LIMITED,Gw Dalston Comm Ltd.,
GXS LIMITED,Gxs Ltd.,
H AND J MARTIN LIMITED,H & J Martin Ltd.,
H COMPANY 5 LIMITED,H Co. Ltd.,
H H ASSOCIATES LIMITED,H H Associates Ltd.,
HAL VENTURES LIMITED,Rgb Ventures Ltd.,
HALA MANAGEMENT LIMITED,Right Management,rightmanagement.com
HALE LEYS LLP,Hale Leys LLP,
HALL AND KAY FIRE SERVICES LIMITED,Hall & Kay Fire Services,hallandkay.com
HALTON BOROUGH COUNCIL,Northampton Borough Council,northampton.gov.uk
HAMBLETON DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
HAMILTON PRATT,Hamilton Pratt,
HANRO LIMITED,Hanro Ltd.,hanro.com
HARBOROUGH DISTRICT COUNCIL,Babergh District Council,babergh.gov.uk
HARDING ASSET MANAGEMENT LIMITED,Harding Asset Management,
HAREEKRISHNA PATEL,Hareekrishna Patel,
HARLEX CONSULTING LIMITED,Harlex Consulting Ltd.,
HARLEY HADDOW LIMITED,Harley Haddow Ltd.,harleydaddow.com
HARLOW DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
HAROLD HOOD LIMITED,Harold Hood Ltd.,
HARROGATE BOROUGH COUNCIL,Harrogate Borough Council,harrogate.gov.uk
HARRY COCKBURN CHEMISTS LIMITED,Harry Cockburn Chemists Ltd.,
HARSON INVESTMENTS LIMITED,Shalimar Investments Ltd.,
HART DISTRICT COUNCIL,Hart District Council,harlow.gov.uk
HARTLEPOOL BOROUGH COUNCIL,Hartlepool Borough Council,hartlepool.gov.uk
HARTNELL TAYLOR COOK LLP,Hartnell Taylor Cook LLP,
HARTYCLASS LIMITED,Hartyclass Ltd.,
HARVEY NASH LTD,Harvey Nash Ltd.,harveynash.com
HASTINGS BOROUGH COUNCIL,Reading Borough Council,reading.gov.uk
HATMILL LIMITED,Hatmill Ltd.,
HAVANT BOROUGH COUNCIL,Harrogate Borough Council,harrogate.gov.uk
HAVENS HEAD RETAIL PARK LIMITED,Havens Head Retail Park,
HAWRIDGE PROPERTIES LIMITED,Edgley Properties Ltd.,
HAYER CURRY COMMERCIAL,Hayer Curry Commercial,
HAYWARD ELECTRICAL SERVICES AND PRO,Hayward Electrical Services,
HBH PROPERTY LIMITED,Ehj Property Ltd.,
HCL TECHNOLOGIES LIMITED,Hcl Technologies Ltd.,hcltech.com
HCL TECHNOLOGIES UK LIMITED,Zebra Technologies Ltd.,zebra.com
HCP PACKAGING HONG KONG LIMITED,Hcp Packaging Hong Kong Ltd.,hcp-packaging.com
HD PATEL SH PATEL AND HH PATEL,Hd Patel,
HEALTH INVESTMENTS LIMITED,Shalimar Investments Ltd.,
HEALTH PARTNERS LTD,Health Partners Ltd.,
HEALTHCHECK SERVICES LIMITED,Healthcheck Services,
HEAPS AND STACKS LIMITED,Heaps & Stacks Ltd.,
HEATHROW AIRPORT LIMITED,Heathrow Airport Ltd.,heathrow.com
HELIX PROPERTY ADVISORS LIMITED,Helix Property Advisors,
HELLO SUNDAY VENTURES LIMITED,Hello Sunday Ventures Ltd.,
HENRY CONYNGHAM AND COMPANY LIMITED,Henry Conyngham & Co. Ltd.,
HEREFORDSHIRE COUNCIL,Herefordshire Council,herefordshire.gov.uk
HERTSMERE BOROUGH COUNCIL,Hertsmere Borough Council,hertsmere.gov.uk
HEYWOOD AND PARTNERS SURVEYORS LIMI,Heywood & Partners Surveyors Ltd.,
HIBERNIAN HEALTHCARE LIMITED,Hibernian Healthcare,
HICKS BAKER LIMITED,Hicks Baker,hicksbaker.co.uk
HIGH PEAK BOROUGH COUNCIL,High Peak Borough Council,
HIGH POINT ESTATES LTD,High Point Estates Ltd.,
HIGH PROFILE RESOURCING LTD.,High Profile Resourcing Ltd.,
HIGH STREET ASHBOURNE MANAGEMENT,High Street Ashbourne Management,
HIGHDALE PROPERTY LIMITED,Highdale Property Ltd.,
HILBERY CHAPLIN SURVEYORS LIMITED,Hilbery Chaplin Surveyors,
HILHAM PROPERTIES LIMITED,Hilham Properties Ltd.,
HILL DICKINSON LLP,Hill Dickinson LLP,hilldickinson.com
HILLTOP ASSETS LIMITED,Hilltop Assets Ltd.,
HINCHCLIFFES PROPERTY ASSOCIATES,Hinchcliffes Property Associates,
HINCKLEY AND BOSWORTH BOROUGH COUNC,Hinckley & Bosworth Borough Council,
HIND UK LIMITED,Hind UK Ltd.,signode.com
HIROKO PROPERTIES LIMITED,Hiroko Properties Ltd.,
HJS PROPERTIES LIMITED,Ehj Property Ltd.,
HL DISPLAY UK LIMITED,Hl Display,hldisplay.com
HM REVENUE AND CUSTOMS,Hm Revenue & Customs,gov.uk
HO2 BRIGHTON LIMITED,Ho2 Brighton,
HOBSON PRIOR INTERNATIONAL LIMITED,Hobson Prior International,hobsonprior.com
HOBSON PRIOR INTERNATIONAL LTD,Hobson Prior International,hobsonprior.com
HONITON HOLDINGS LIMITED,Honiton Holdings Ltd.,
HOOTONS COMMERCIAL LIMITED,Hootons Commercial Ltd.,
HORSHAM DISTRICT COUNCIL,Horsham District Council,horsham.gov.uk
HORTON BANK PRACTICE,Horton Bank Practice,
HOSTED IT LIMITED,Hosted IT Ltd.,
HOWARD JOHN BOWSHER M R PHARM S,Howard John Bowsher M R Pharmacy,
HOWARD KW ST JOHN,Howard Kw St John,
HOWELL BROOKS AND PARTNERS LLP,Howell Brooks & Partners LLP,
HOWETT THORPE,Howett Thorpe,
HS1 LIMITED,Bhsf Ltd.,
HTS PROPCO LIMITED,Hts Propco Ltd.,
HULL CITY COUNCIL,Kingston Upon Hull City Council,hull.gov.uk
HUNTINGDONSHIRE DISTRICT COUNCIL,Huntingdonshire District Council,huntingdonshire.gov.uk
HURLEY TRUSTEE SERVICES LIMITED,Hurley Trustee Services Ltd.,
HVG SORRELL LIMITED,Hvg Sorrell,
HW COMMERCIAL PROPERTY LIMITED,Hw Commercial Property Ltd.,
HWBC LIMITED,Hwbc Ltd.,
HYDRO X WATER TREATMENT LIMITED,Hydro X Water Treatment,
I F MCLEAN S CHRISTMAS & M C STRACH,I F Mclean's Christmas & M C Strach,
IAN HODGES & CO,Ian Hodges & Co.,
IB PROPERTY COMMERCIAL INVESTMENT U,Ib Property Commercial Investment,
IBIS PACKAGING SOLUTIONS LIMITED,Synergy Packaging Solutions Ltd.,
IBM CORPORATION,IBM UK Ltd.,ibm.com
IBM UK LTD,IBM UK Ltd.,ibm.com
IBM UNITED KINGDOM LIMITED,IBM UK Ltd.,ibm.com
ICARE HEALTH,Icare Health,icarehealth.com
IDX CORPORATION,IBM UK Ltd.,ibm.com
IGNATA RETAIL & FMCG LTD.,Ignata Retail & Fmcg Ltd.,
IKD PROPERTY LIMITED,Ehj Property Ltd.,
IMAGE PUBLICATIONS LIMITED,Image Publications Ltd.,
IMAGESOUND LIMITED,Imagesound Ltd.,
IMAGESOUND LTD,Imagesound Ltd.,
IMPACT RETAIL LIMITED,Impact Retail Ltd.,
IMPERIAL HOTEL ENNISKILLEN LIMITED,Imperial Hotel Enniskillen,imperialhotels.com
IMRE PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
IMSERV EUROPE LIMITED,Imserv Europe Ltd.,
IMSERV EUROPE LTD,Imserv Europe Ltd.,
IN UR FACE MEDIA,In Ur Face Media,
INCODIA INTERNATIONAL LIMITED,Incodia International Ltd.,
INCOMM EUROPE LIMITED,Incomm Europe Ltd.,incomm.com
INCPEN,Incpent,
INDEED UK OPERATIONS LIMITED,Indeed UK Operations Ltd.,indeed.com
INDEPENDENT TRANSITION MANAGEMENT,Independent Transition Management,
INFOSUM LIMITED,Infosum Ltd.,
INSAFE INTERNATIONAL LIMITED,Vespace International Ltd.,
INSIGHT PRESENTATION SYSTEMS LIMITE,Insight Presentation Systems Ltd.,
INSPIRE PROPERTIES INCORPORATED,Inspire Properties Inc.,
INSPIRED ENERGY PLC,Inspired Energy PLC,
INSPIRED PLC,Inspired PLC,
INSPIRED THINKING GROUP ITG LIMITED,Inspired Thinking Group Itg Ltd.,
INSPIRO LEARNING LIMITED,Inspiro Learning Ltd.,
INTER COSMETIQUES,Inter Cosmetiques,intercosmetiques.com
INTERNAL AUDIT CONNECTIONS LIMITED,Internal Audit Connections Ltd.,
INTUITION ADVISORY LIMITED,Intuition Advisory Ltd.,
INVENT ANALYTICS LLC,Invent Analytics,
INVERCLYDE COUNCIL,Inverclyde Council,inverclyde.gov.uk
INVESTACC PENSION ADMINISTRATION LI,Investacc Pension Administration,
INVESTIGO LIMITED,Investigo Ltd.,
IPLUX LIMITED SSAS PENSION,Iplux Ltd.,
IPROP LIMITED,Iprop Ltd.,
IPSWICH BOROUGH COUNCIL,Ipswich Borough Council,ipswich.gov.uk
IRIS VERA ROSE,Iris Vera Rose,
IRISH LIFE INVESTMENT MANAGERS LIMI,Irish Life Investment Managers,irishlife.ie
IRISH WATER,Irish Water,irishwater.ie
IRON MOUNTAIN (UK) PLC,Iron Mountain,ironmountain.com
ISLE OF ANGLESEY COUNTY COUNCIL,Isle of Anglesey County Council,anglesey.gov.wales
ISLE OF WIGHT COUNCIL,Isle of Wight Council,iow.gov.uk
ISLINGTON COUNCIL,Islington Council,islington.gov.uk
ISS FACILITY SERVICES LIMITED,Iss Facility Services,issworld.com
ISS IRELAND LIMITED,Iss Ireland Ltd.,ie.issworld.com
ITB FABRICATIONS,Itb Fabrications,
ITERGY,Itergy,
ITV BROADCASTING LIMITED,Itv Broadcasting,itv.com
J AND E SHEPHERD CHARTERED SURVEYOR,J & E Shepherd Chartered Surveyor,
JACKSON CONSULTING ENGINEERS LIMITE,Jackson Consulting Engineers Ltd.,
JACKSON SOLIHULL COMPANY LIMITED,Jackson Solihull Co. Ltd.,
JAGGARD MACLAND LLP,Jaggard Macland LLP,
JAGJIT SINGH NANDA,Jagjit Singh Nanda,
JALTCO LIMITED,Jaltco Ltd.,
JAMES ANDREW INTERNATIONAL TN OF JA,James Andrew International,
JAMES BROTHERS WELLINGBOROUGH,James Brothers,
JASVINDER SANDHER AND BALWINDER SAN,Jasvinder Sandher and Balwinder San,
JE HARRIS & SON FURNISHERS LIMITED,Je Harris & Son Furnishers,
JEFF BOURNE PROPERTIES LIMITED,Jeff Bourne Properties,
JELLYFISH U.K. LIMITED,Jellyfish UK Ltd.,
JELLYFISH UK LIMITED,Zellis UK Ltd.,
JELMAC PRIMARY CARE PROPERTIES LIMI,Jelmac Primary Care Properties Ltd.,
JENSONRPLUS LIMITED,Jensonrplus Ltd.,
JEREMIAH MCGRATH JUNIOR,Jeremiah Mcgrath,
JEREMY RUBIN AND CO LIMITED,Jeremy Rubin & Co. Ltd.,
JERSEY ELECTRICITY COMPANY LIMITED,Jersey Electricity Co.,jerseyelectricity.com
JERSEY TELECOM,Jersey Telecom,jerseytelecom.com
JERVIS SHOPPING CENTRE MANAGEMENT,Jervis Shopping Centre Management,
JICMAIL LIMITED,Jicmail Ltd.,jicmail.com
JIM AND ANN HOGAN,Jim and Ann Hogan,
JIMMY DEMETRI LIMITED,Jimmy Demetri Ltd.,
JJ GREENWAY LIMITED,Jj Greenway Ltd.,
JKR POWER INVESTMENT LIMITED,Jkr Power Investment Ltd.,
JMG TUBING CO LIMITED SELF ADMINIST,Jmg Tubing Co.,
JOGLE COURIERS LIMITED,Jogle Couriers Ltd.,
JOHN ARKWRIGHT & COMPANY LIMITED,John Arkwright & Co. Ltd.,
JOHN BIRMINGHAM,John Birmingham,
JOHN GOODWIN FRICS,John Goodwin Frics,
JOHN HOGG AND CO LIMITED,John Hogg & Co. Ltd.,
JOHN NASH STEER ESQ,John Nash Steer,
JOHN NEVILLE,John Neville,
JOHN OGARA JUNIOR AND JOAN OGARA,John Ogara Junior and Joan Ogara,
JOHNSON FELLOWS LLP,Johnson Fellows LLP,
JONATHAN AND SONJA MUNNERY,Jonathan & Sonja Munnery,
JONES LANG LASALLE,Jones Lang Lasalle,jll.com
JONES LANG LASALLE LIMITED,Jones Lang Lasalle,jll.com
JONES NORRIS ADAMS LIMITED,Jones Norris Adams Ltd.,
JPS ESTATES LIMITED,Jps Estates Ltd.,
JR INVESTMENT GROUP LIMITED,Topset Investments Group Ltd.,
JS CRAWFORD PROPERTIES BERWICK LIMI,Js Crawford Properties Berwick Ltd.,
JSS PROCUREMENT,Jss Procurement,
JUNE GREER,June Greer,
JUNE KAY RETTER,June Kay Retter,
JUNE STOBO,June Stobo,
JUSTICE AND CO PROPERTY MANAGEMENT,Justice & Co.,
JUSTIN AND HUDSON DEANS,Justin & Hudson Deans,
JY KINSHA LLP,Jy Kinsha LLP,
K AND K HARDWARE ORMESBY LIMITED,K & K Hardware,
KALLIS PROPERTIES LIMITED,Manica Properties Ltd.,
KALPA AND SUNDIP PATEL,Kalpa & Sundip Patel,
KANTAR,Kantar,kantar.com
KAPLANLAR SOGUTMA SAN. VE TIC. A.S.,Kaplanlar Sogutma Sanayi̇ Ve Ti̇caret A. ş,
KARCHER UK LIMITED,Karcher UK Ltd.,karcher.com
KASHMIRI PROPERTIES IRELAND LIMITED,Kashmiri Properties Ireland Ltd.,
KAYMAN PROPERTIES LIMITED,Manica Properties Ltd.,
KB PACKAGING,Kite Packaging,kitepackaging.com
KCOM GROUP PLC,Kcom Group PLC,kcom.com
KEAGA LLP,Keaga LLP,
KEELE UNIVERSITY,Keele University,keele.ac.uk
KEENPAC TRADING DIVISION OF BUNZL R,Bunzl Retail & Healthcare Supplies,bunzl.com
KELLIHERS PROPERTY HOLDING COMPANY,Kelliher's Property Holding Co.,
KENDO BRANDS LIMITED,Kendo Brands Ltd.,
KENEXA GLOBAL SERVICES LIMITED (NOW PART OF IBM),IBM UK Ltd.,ibm.com
KENSONS HOLDINGS UK LIMITED,Kensons Holdings,
KEOGHS LLP,Keoghs LLP,keoghs.co.uk
KERR AND BURGESS LIMITED,Kerr & Burgess Ltd.,
KETTERING BOROUGH COUNCIL,Woking Borough Council,woking.gov.uk
KEYEDIN SOLUTIONS LIMITED,Keyedin Solutions Ltd.,
KEYGROVE,Keygrove,
KHYA ESTATES LIMITED,Khya Estates Ltd.,
KIDDIE OF SOUTHPORT LTD,Kiddie of Southport,
KIDGATE CAR PARKS,Kidgate Car Parks,
KIERAN ROUSE,Kieran Rouse,
KINAXIA LOGISTICS AND FULFILMENT LI,Kinaxia Logistics & Fulfillment,kinaxialogistics.com
KINGS LYNN AND WEST NORFOLK BOROUGH,Kings Lynn & West Norfolk Borough,
KINGSTON HOMES PENSION FUND,Kingston Homes Pension Fund,
KINGSTON UPON HULL CITY COUNCIL,Kingston Upon Hull City Council,hull.gov.uk
KINMEL BAY MEDICAL CENTRE,Kinmel Bay Medical Centre,
KIRKBY DIAMOND PROPERTY MANAGEMENT,Kirkby Diamond Property Management,
KIRKLEES METROPOLITAN COUNCIL,Kirklees Metropolitan Council,kirklees.gov.uk
KIRKLINTON PROPERTIES LIMITED,Hiroko Properties Ltd.,
KITE PACKAGING,Kite Packaging,kitepackaging.com
KLARNA AB BANK,Klarna Ab,klarna.com
KLARNA BANK AB UK BRANCH,Klarna Ab,klarna.com
KLG ESTATES,Klg Estates,
KMI BRANDS LIMITED,Kmi Brands Ltd.,
KNAPP AG,Knapp Logistik Automation,knapp.com
KNAPP LOGISTIK AUTOMATION GMBH,Knapp Logistik Automation,knapp.com
KNAPP SYSTEMINTEGRATION GMBH,Knapp Logistik Automation,knapp.com
KNAPP UK LIMITED,Knapp Logistik Automation,knapp.com
KNAPP UK LIMITED (KNAPP UK),Knapp Logistik Automation,knapp.com
KNIGHT FRANK LLP,Knight Frank LLP,knightfrank.com
KNOWSLEY METROPOLITAN BOROUGH COUNC,Dudley Metropolitan Borough Council,dudley.gov.uk
KONE PLC,Kone PLC,kone.com
KPMG LLP,KPMG,kpmg.com
KRONOS SYSTEMS LIMITED,Kronos Systems Ltd.,kronos.com
KSA PROPERTY MANAGEMENT LIMITED,KSA Property Management Ltd.,
KYNDRYL,Kyndryl UK Ltd.,kyndryl.com
KYNDRYL UK LIMITED,Kyndryl UK Ltd.,kyndryl.com
KYRIBA UK LIMITED,Kyriba Ltd.,kyriba.com
L&C INVESTMENTS LIMITED,Aon Investments Ltd.,aon.com
LA FOSSE ASSOCIATES LIMITED,La Fosse Associates Ltd.,
LABELBROOK LIMITED,Labelbrook Ltd.,
LABORATOIRE DERMSCAN,Laboratoire Dermscan,dermscan.com
LAIMOND PROPERTY INVESTMENT COMPANY,Daniel Property Investment Co.,
LAKESIDE SURGERY,Lakeside Surgery,
LALEHAM HEALTH AND BEAUTY LIMITED,Laleham Health & Beauty,
LAMBA PROPERTIES LIMITED,Manica Properties Ltd.,
LAMBERT SMITH HAMPTON,Lambert Smith Hampton,lsh.co.uk
LAMBERT SMITH HAMPTON NIRELAND LIMI,Lambert Smith Hampton Ni,
LANCASTER CITY COUNCIL,Leicester City Council,leicester.gov.uk
LAND & PROPERTY SERVICES,Land & Property Services,
LAND SECURITIES GROUP PLC,Land Securities Group PLC,landsecurities.com
LAND SECURITIES PROPERTIES LIMITED,Land Securities Group PLC,landsecurities.com
LANDSWOOD DE COY LLP,Landswood De Coy LLP,
LARWOOD SURGERY,Larwood Surgery,
LATATE LIMITED,Ellanate Ltd.,
LAURENCE STREET SHOPPING CENTRE,Laurence Street Shopping Centre,
LAWRENCE DAVID HOLDINGS LIMITED,Lawrence David Holdings Ltd.,
LAWRENCE DAVID LIMITED,Lawrence David Ltd.,
LAWSON INVESTMENTS EDINBURGH LIMITE,Lawson Investments,
LAZARI INVESTMENTS MANAGEMENT LIMIT,Lazari Investments Management Ltd.,
LAZARI PROPERTIES 2 LIMITED,Lazari Properties Ltd.,
LCP ESTATES LIMITED,Limes Estates Ltd.,
LCP MANAGEMENT LIMITED,Right Management,rightmanagement.com
LCP PROPERTY INVESTMENTS LIMITED,Imre Property Investments Ltd.,
LCP RETAIL LIMITED,Lcp Retail Ltd.,
LEAFREALM LTD AND R W GRANT,Leafrealm Ltd.,
LEAMY MANDERS LIMITED,Leamy Manders Ltd.,
LEARND UK LIMITED,Learned UK Ltd.,
LEATSIDE SURGERY,Lakeside Surgery,
LEE BARON LIMITED,Lee Baron Ltd.,
LEEBURN LIMITED,Lee Baron Ltd.,
LEEDS AND YORK PARTNERSHIP NHS,Leeds & York Partnership NHS,leedsandyorkpft.nhs.uk
LEEDS BRADFORD AIRPORT LIMITED,Leeds Bradford Airport,lba.co.uk
LEEDS CITY COUNCIL,Leicester City Council,leicester.gov.uk
LEEDS COMMUNITY HEALTHCARE NHS TRUS,Leeds Community Healthcare NHS Trust,leedscommunityhealthcare.nhs.uk
LEGAT OWEN LIMITED,Legat Owen Ltd.,
LEICESTER CITY COUNCIL,Leicester City Council,leicester.gov.uk
LEINAD LIMITED,Leinad Ltd.,
LEMONPATH LIMITED,Lemonpath Ltd.,
LEND LEASE REAL ESTATE INVESTMENT,Lendlease Real Estate Investment,lendlease.com
LEONARD AND MULVEY LIMITED,Leonard & Mulvey Ltd.,
LESLEY JAMES,Lesley James,
LESURETEC LIMITED,Leisuretec Ltd.,
LEVY ASSET MANAGEMENT LIMITED,Levy Asset Management Ltd.,
LEWES DISTRICT COUNCIL,Cherwell District Council,cherwell.gov.uk
LEWIS AND HICKEY LIMITED,Lewis & Hickey Ltd.,
LEXMARK INTERNATIONAL LIMITED,Lexmark International,lexmark.com
"LEXMARK INTERNATIONAL, INC.",Lexmark International,lexmark.com
LEYCH ESTATES LIMITED,Leych Estates Ltd.,
LHR BUSINESS SUPPORT CENTRE LIMITED,Baa Business Support Centre,
LICHFIELD DISTRICT COUNCIL,Ashfield District Council,ashfield.gov.uk
LIDL GREAT BRITAIN LIMITED,Lidl,lidl.co.uk
LIFERAY,Liferay,liferay.com
LIGENTIA UK LIMITED,Ligentia UK Ltd.,ligentia.com
